"订单编号","买家应付货款","买家应付邮费","买家支付积分","总金额","返点积分","买家实际支付金额","买家实际支付积分","订单状态","买家留言","运送方式","订单创建时间","订单付款时间 ","宝贝标题 ","宝贝种类 ","物流单号 ","物流公司","备注标签","商家备注","宝贝总数量","店铺Id","店铺名称","确认收货时间","打款商家金额"
"3950459208035067144","70.00","0.00","0","70.00","0","70.00","0","交易成功","","快递","2024-06-29 19:46:02","2024-06-29 19:46:43","前端网站制作html/jquery/javascript/vue/react/angular代码编程","1","","","","","7","","ztztzt108的小店","2024-06-30 16:36:00","70.00元"
"3949081887731182328","230.00","0.00","0","230.00","0","230.00","0","交易成功","","快递","2024-06-28 10:50:16","2024-06-28 10:50:20","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","23","","ztztzt108的小店","2024-07-04 14:43:18","230.00元"
"2204533274037382991","223.10","0.00","0","223.10","0","223.10","0","交易成功","","快递","2024-06-25 16:49:16","2024-06-25 16:49:23","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","23","","ztztzt108的小店","2024-07-01 23:13:10","223.10元"
"3944593910003952706","220.00","0.00","0","220.00","0","220.00","0","交易成功","","快递","2024-06-24 10:09:54","2024-06-24 10:10:03","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","22","","ztztzt108的小店","2024-06-27 22:24:12","220.00元"
"2196575041468849187","120.00","0.00","0","120.00","0","120.00","0","交易成功","","快递","2024-06-18 11:32:50","2024-06-18 11:32:59","前端网站制作html/jquery/javascript/vue/react/angular代码编程","1","","","","","12","","ztztzt108的小店","2024-06-20 17:45:17","120.00元"
"3931125625090949748","145.50","0.00","0","145.50","0","145.50","0","交易成功","","快递","2024-06-14 17:58:10","2024-06-14 17:58:16","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","15","","ztztzt108的小店","2024-06-14 22:38:41","145.50元"
"3931240250143949748","145.50","0.00","0","145.50","0","145.50","0","交易成功","","快递","2024-06-14 17:13:42","2024-06-14 17:14:01","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","15","","ztztzt108的小店","2024-06-14 22:38:41","145.50元"
"2185653435724806276","237.03","0.00","0","237.03","0","237.03","0","交易成功","","快递","2024-06-09 17:54:46","2024-06-09 17:54:55","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","24","","ztztzt108的小店","2024-06-22 16:30:40","237.03元"
"2185470338187545076","100.00","0.00","0","100.00","0","100.00","0","交易成功","","快递","2024-06-09 09:45:50","2024-06-09 09:46:07","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","10","","ztztzt108的小店","2024-06-20 11:44:46","100.00元"
"2183804688381068787","174.60","0.00","0","174.60","0","174.60","0","交易成功","","快递","2024-06-07 23:33:58","2024-06-07 23:34:05","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","18","","ztztzt108的小店","2024-06-11 17:26:12","174.60元"
"3922699825099396525","174.60","0.00","0","174.60","0","174.60","0","交易成功","","快递","2024-06-07 17:39:19","2024-06-07 17:39:25","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","18","","ztztzt108的小店","2024-06-10 17:49:52","174.60元"
"2181229503315545076","190.00","0.00","0","190.00","0","190.00","0","交易成功","","快递","2024-06-05 15:07:04","2024-06-05 15:07:10","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","19","","ztztzt108的小店","2024-06-08 12:35:57","190.00元"
"2181230402783806276","174.60","0.00","0","174.60","0","174.60","0","交易成功","","快递","2024-06-05 10:50:14","2024-06-05 10:50:20","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","18","","ztztzt108的小店","2024-06-07 12:02:04","174.60元"
"2181541909279806276","9.70","0.00","0","9.70","0","9.70","0","交易关闭","","快递","2024-06-05 10:44:42","","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","1","","ztztzt108的小店","","0.00元"
"2177940686971285188","150.00","0.00","0","150.00","0","150.00","0","交易成功","","快递","2024-06-02 17:06:29","2024-06-02 17:06:33","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","15","","ztztzt108的小店","2024-06-03 19:32:10","150.00元"
"2177829193580245159","199.30","0.00","0","199.30","0","199.30","0","交易成功","","快递","2024-06-02 11:37:19","2024-06-02 11:37:32","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","20","","ztztzt108的小店","2024-06-06 16:47:44","199.30元"
"3914222005961649422","194.00","0.00","0","194.00","0","194.00","0","交易成功","","快递","2024-06-01 11:15:22","2024-06-01 11:15:27","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","20","","ztztzt108的小店","2024-06-04 12:11:32","194.00元"
"3913376610878396525","194.00","0.00","0","194.00","0","194.00","0","交易成功","","快递","2024-05-31 21:27:13","2024-05-31 21:27:18","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","20","","ztztzt108的小店","2024-06-03 23:02:40","194.00元"
"2172774470751220792","200.00","0.00","0","200.00","0","200.00","0","交易成功","","快递","2024-05-29 22:08:09","2024-05-29 22:08:14","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","20","","ztztzt108的小店","2024-06-03 08:11:18","200.00元"
"2171622072850220792","180.00","0.00","0","180.00","0","180.00","0","交易成功","","快递","2024-05-29 10:24:25","2024-05-29 10:24:33","网页vue/react/javascript/angular编程制做nodejs/PHP/JAVA开发","1","","","","","18","","ztztzt108的小店","2024-06-01 20:48:39","180.00元"
"2171466267066545076","440.00","0.00","0","440.00","0","440.00","0","交易成功","","快递","2024-05-28 23:04:18","2024-05-28 23:04:26","web前端二次开发vueJava项目代编html5网页设计定制js/uniapp代做","1","","","","","44","","ztztzt108的小店","2024-06-03 09:39:59","440.00元"
